member_id,posture,start_time,end_time
test,DP,2023-11-26 17:43:00,2023-11-26 19:23:30
test,CP,2023-11-26 19:23:30,2023-11-26 21:04:00
test,DP,2023-11-26 21:04:00,2023-11-26 22:44:30
test,CP,2023-11-26 22:44:30,2023-11-27 00:25:00
test,CP,2023-11-27 21:41:00,2023-11-27 23:17:30
test,DP,2023-11-27 23:17:30,2023-11-28 00:54:00
test,CP,2023-11-28 00:54:00,2023-11-28 02:30:30
test,DP,2023-11-28 02:30:30,2023-11-28 04:07:00
test,CP,2023-11-28 04:07:00,2023-11-28 05:43:30
test,DP,2023-11-28 05:43:30,2023-11-28 07:20:00
test,CP,2023-11-28 19:38:00,2023-11-28 20:56:00
test,DP,2023-11-28 20:56:00,2023-11-28 22:14:00
test,CP,2023-11-28 22:14:00,2023-11-28 23:32:00
test,DP,2023-11-28 23:32:00,2023-11-29 00:50:00
test,CP,2023-11-29 00:50:00,2023-11-29 02:08:00
test,DP,2023-11-29 02:08:00,2023-11-29 03:26:00
test,CP,2023-11-29 03:26:00,2023-11-29 04:44:00
test,DP,2023-11-29 16:26:00,2023-11-29 22:18:20
test,CP,2023-11-29 22:18:20,2023-11-30 04:10:40
test,DP,2023-11-30 04:10:40,2023-11-30 10:03:00
test,CP,2023-11-30 19:54:00,2023-11-30 22:48:08
test,DP,2023-11-30 22:48:08,2023-12-01 01:42:17
test,CP,2023-12-01 01:42:17,2023-12-01 04:36:25
test,DP,2023-12-01 04:36:25,2023-12-01 07:30:34
test,CP,2023-12-01 07:30:34,2023-12-01 10:24:42
test,DP,2023-12-01 10:24:42,2023-12-01 13:18:51
test,CP,2023-12-01 13:18:51,2023-12-01 16:13:00
test,CP,2023-12-02 11:05:00,2023-12-02 16:09:20
test,DP,2023-12-02 16:09:20,2023-12-02 21:13:40
test,CP,2023-12-02 21:13:40,2023-12-03 02:18:00
test,CP,2023-12-03 15:16:00,2023-12-03 22:23:40
test,DP,2023-12-03 22:23:40,2023-12-04 05:31:20
test,CP,2023-12-04 05:31:20,2023-12-04 12:39:00
test,CP,2023-12-05 06:07:00,2023-12-05 08:06:34
test,DP,2023-12-05 08:06:34,2023-12-05 10:06:08
test,CP,2023-12-05 10:06:08,2023-12-05 12:05:42
test,DP,2023-12-05 12:05:42,2023-12-05 14:05:17
test,CP,2023-12-05 14:05:17,2023-12-05 16:04:51
test,DP,2023-12-05 16:04:51,2023-12-05 18:04:25
