member_id,posture,start_time,end_time
test,DP,2023-11-26 17:43:00,2023-11-26 19:56:29
test,CP,2023-11-26 19:56:29,2023-11-26 21:33:47
test,DP,2023-11-26 21:33:47,2023-11-26 23:24:29
test,CP,2023-11-26 23:24:29,2023-11-26 23:56:58
test,DP,2023-11-26 23:56:58,2023-11-27 00:25:00
test,CP,2023-11-27 21:41:00,2023-11-27 23:19:04
test,DP,2023-11-27 23:19:04,2023-11-28 02:45:14
test,CP,2023-11-28 02:45:14,2023-11-28 07:20:00
test,CP,2023-11-28 19:38:00,2023-11-28 19:59:13
test,DP,2023-11-28 19:59:13,2023-11-28 20:06:52
test,CP,2023-11-28 20:06:52,2023-11-28 20:07:16
test,DP,2023-11-28 20:07:16,2023-11-28 20:08:32
test,CP,2023-11-28 20:08:32,2023-11-28 20:15:11
test,DP,2023-11-28 20:15:11,2023-11-29 01:23:08
test,CP,2023-11-29 01:23:08,2023-11-29 02:49:48
test,DP,2023-11-29 02:49:48,2023-11-29 04:44:00
test,DP,2023-11-29 16:26:00,2023-11-29 17:38:09
test,CP,2023-11-29 17:38:09,2023-11-30 01:38:38
test,DP,2023-11-30 01:38:38,2023-11-30 04:52:02
test,CP,2023-11-30 04:52:02,2023-11-30 05:44:30
test,DP,2023-11-30 05:44:30,2023-11-30 09:08:20
test,CP,2023-11-30 09:08:20,2023-11-30 10:03:00
test,CP,2023-11-30 19:54:00,2023-11-30 22:11:13
test,DP,2023-11-30 22:11:13,2023-12-01 00:15:58
test,CP,2023-12-01 00:15:58,2023-12-01 05:47:44
test,DP,2023-12-01 05:47:44,2023-12-01 10:06:04
test,CP,2023-12-01 10:06:04,2023-12-01 10:19:22
test,DP,2023-12-01 10:19:22,2023-12-01 11:34:20
test,CP,2023-12-01 11:34:20,2023-12-01 16:13:00
test,DP,2023-12-02 11:05:00,2023-12-02 17:38:12
test,CP,2023-12-02 17:38:12,2023-12-02 17:57:44
test,DP,2023-12-02 17:57:44,2023-12-02 20:13:36
test,CP,2023-12-02 20:13:36,2023-12-02 21:06:33
test,DP,2023-12-02 21:06:33,2023-12-03 00:28:37
test,CP,2023-12-03 00:28:37,2023-12-03 01:29:45
test,DP,2023-12-03 01:29:45,2023-12-03 02:18:00
test,CP,2023-12-03 15:16:00,2023-12-03 21:51:55
test,DP,2023-12-03 21:51:55,2023-12-03 23:26:45
test,CP,2023-12-03 23:26:45,2023-12-04 12:39:00
test,DP,2023-12-05 06:07:00,2023-12-05 10:50:04
test,CP,2023-12-05 10:50:04,2023-12-05 13:17:49
test,DP,2023-12-05 13:17:49,2023-12-05 13:40:23
test,CP,2023-12-05 13:40:23,2023-12-05 17:30:12
test,DP,2023-12-05 17:30:12,2023-12-05 18:29:21
test,CP,2023-12-05 18:29:21,2023-12-05 19:48:04
test,DP,2023-12-05 19:48:04,2023-12-05 20:04:00
test,DP,2023-12-06 15:43:00,2023-12-06 16:11:56
test,CP,2023-12-06 16:11:56,2023-12-06 16:17:59
test,DP,2023-12-06 16:17:59,2023-12-06 17:14:44
test,CP,2023-12-06 17:14:44,2023-12-06 17:21:05
test,DP,2023-12-06 17:21:05,2023-12-06 17:39:00
test,DP,2023-12-07 04:15:00,2023-12-07 05:41:29
test,CP,2023-12-07 05:41:29,2023-12-07 05:48:11
test,DP,2023-12-07 05:48:11,2023-12-07 06:24:25
test,CP,2023-12-07 06:24:25,2023-12-07 12:15:40
test,DP,2023-12-07 12:15:40,2023-12-07 13:35:11
test,CP,2023-12-07 13:35:11,2023-12-07 14:27:51
test,DP,2023-12-07 14:27:51,2023-12-07 15:14:43
test,CP,2023-12-07 15:14:43,2023-12-07 18:30:00
test,DP,2023-12-07 23:01:00,2023-12-08 00:27:24
test,CP,2023-12-08 00:27:24,2023-12-08 03:26:52
test,DP,2023-12-08 03:26:52,2023-12-08 06:13:13
test,CP,2023-12-08 06:13:13,2023-12-08 10:18:21
test,DP,2023-12-08 10:18:21,2023-12-08 18:21:29
test,CP,2023-12-08 18:21:29,2023-12-08 22:11:00
test,DP,2023-12-09 17:57:00,2023-12-10 01:07:10
test,CP,2023-12-10 01:07:10,2023-12-10 04:33:03
test,DP,2023-12-10 04:33:03,2023-12-10 04:40:00
test,DP,2023-12-11 02:27:00,2023-12-11 03:37:09
test,CP,2023-12-11 03:37:09,2023-12-11 04:44:41
test,DP,2023-12-11 04:44:41,2023-12-11 09:06:00
test,DP,2023-12-11 17:08:00,2023-12-11 17:47:35
test,CP,2023-12-11 17:47:35,2023-12-11 18:25:28
test,DP,2023-12-11 18:25:28,2023-12-11 21:30:51
test,CP,2023-12-11 21:30:51,2023-12-11 21:58:10
test,DP,2023-12-11 21:58:10,2023-12-12 03:55:21
test,CP,2023-12-12 03:55:21,2023-12-12 05:12:00
test,DP,2023-12-12 13:04:00,2023-12-12 13:55:54
test,CP,2023-12-12 13:55:54,2023-12-12 14:51:03
test,DP,2023-12-12 14:51:03,2023-12-12 15:30:57
test,CP,2023-12-12 15:30:57,2023-12-12 17:25:24
test,DP,2023-12-12 17:25:24,2023-12-12 17:42:35
test,CP,2023-12-12 17:42:35,2023-12-12 18:55:11
test,DP,2023-12-12 18:55:11,2023-12-12 20:42:00
test,CP,2023-12-13 00:11:00,2023-12-13 01:55:47
test,DP,2023-12-13 01:55:47,2023-12-13 03:15:05
test,CP,2023-12-13 03:15:05,2023-12-13 03:54:39
test,DP,2023-12-13 03:54:39,2023-12-13 10:15:41
test,CP,2023-12-13 10:15:41,2023-12-13 15:19:59
test,DP,2023-12-13 15:19:59,2023-12-13 18:28:00
test,CP,2023-12-14 04:56:00,2023-12-14 07:12:59
test,DP,2023-12-14 07:12:59,2023-12-14 14:01:01
test,CP,2023-12-14 14:01:01,2023-12-14 15:41:00
test,DP,2023-12-15 07:33:00,2023-12-15 08:08:01
test,CP,2023-12-15 08:08:01,2023-12-15 18:48:04
test,DP,2023-12-15 18:48:04,2023-12-15 23:09:31
test,CP,2023-12-15 23:09:31,2023-12-16 02:12:50
test,DP,2023-12-16 02:12:50,2023-12-16 02:42:00
test,DP,2023-12-16 03:13:00,2023-12-16 03:45:08
test,CP,2023-12-16 03:45:08,2023-12-16 06:23:09
test,DP,2023-12-16 06:23:09,2023-12-16 10:09:34
test,CP,2023-12-16 10:09:34,2023-12-16 11:04:00
test,CP,2023-12-17 05:04:00,2023-12-17 05:49:06
test,DP,2023-12-17 05:49:06,2023-12-17 13:19:05
test,CP,2023-12-17 13:19:05,2023-12-17 15:33:33
test,DP,2023-12-17 15:33:33,2023-12-17 19:53:00
test,DP,2023-12-17 22:09:00,2023-12-18 08:57:12
test,CP,2023-12-18 08:57:12,2023-12-18 09:57:28
test,DP,2023-12-18 09:57:28,2023-12-18 10:01:18
test,CP,2023-12-18 10:01:18,2023-12-18 11:34:00
test,CP,2023-12-18 16:02:00,2023-12-18 17:11:36
test,DP,2023-12-18 17:11:36,2023-12-18 18:37:04
test,CP,2023-12-18 18:37:04,2023-12-18 18:38:10
test,DP,2023-12-18 18:38:10,2023-12-18 19:21:55
test,CP,2023-12-18 19:21:55,2023-12-18 19:48:31
test,DP,2023-12-18 19:48:31,2023-12-18 19:57:45
test,CP,2023-12-18 19:57:45,2023-12-18 21:59:17
test,DP,2023-12-18 21:59:17,2023-12-19 01:27:00
test,DP,2023-12-20 00:58:00,2023-12-20 06:03:52
test,CP,2023-12-20 06:03:52,2023-12-20 07:54:18
test,DP,2023-12-20 07:54:18,2023-12-20 09:39:54
test,CP,2023-12-20 09:39:54,2023-12-20 11:43:00
test,DP,2023-12-20 17:01:00,2023-12-20 23:04:41
test,CP,2023-12-20 23:04:41,2023-12-21 02:33:50
test,DP,2023-12-21 02:33:50,2023-12-21 03:47:00
test,DP,2023-12-22 03:34:00,2023-12-22 04:30:43
test,CP,2023-12-22 04:30:43,2023-12-22 06:34:01
